from,to,epoch,tx,ty,tz,d,rx,ry,rz,dtx,dty,dtz,dd,drx,dry,drz
ITRF2008,ITRF2005,2005,-0.0005,-0.0009,-0.0047,0.00094,0,0,0,0.0003,0,0,0,0,0,0
ITRF2008,ITRF2005,2000,-0.002,-0.0009,-0.0047,0.00094,0,0,0,0.0003,0,0,0,0,0,0
ITRF2008,ITRF2000,2000,-0.0019,-0.0017,-0.0105,0.00134,0,0,0,0.0001,0.0001,-0.0018,0.00008,0,0,0
ITRF2008,ITRF97,2000,0.0048,0.0026,-0.0332,0.00292,0,0,0.00006,0.0001,-0.0005,-0.0032,0.00009,0,0,0.00002
ITRF2008,ITRF96,2000,0.0048,0.0026,-0.0332,0.00292,0,0,0.00006,0.0001,-0.0005,-0.0032,0.00009,0,0,0.00002
ITRF2008,ITRF94,2000,0.0048,0.0026,-0.0332,0.00292,0,0,0.00006,0.0001,-0.0005,-0.0032,0.00009,0,0,0.00002
ITRF2008,ITRF93,2000,-0.024,0.0024,-0.0386,0.00341,-0.00171,-0.00148,-0.0003,-0.0028,-0.0001,-0.0024,0.00009,-0.00011,-0.00019,0.00007
ITRF2008,ITRF92,2000,0.0128,0.0046,-0.0412,0.00221,0,0,0.00006,0.0001,-0.0005,-0.0032,0.00009,0,0,0.00002
ITRF2008,ITRF91,2000,0.0248,0.0186,-0.0472,0.00361,0,0,0.00006,0.0001,-0.0005,-0.0032,0.00009,0,0,0.00002
ITRF2008,ITRF90,2000,0.0228,0.0146,-0.0632,0.00391,0,0,0.00006,0.0001,-0.0005,-0.0032,0.00009,0,0,0.00002
ITRF2008,ITRF89,2000,0.0278,0.0386,-0.1012,0.00731,0,0,0.00006,0.0001,-0.0005,-0.0032,0.00009,0,0,0.00002
ITRF2008,ITRF88,2000,0.0228,0.0026,-0.1252,0.01041,0.0001,0,0.00006,0.0001,-0.0005,-0.0032,0.00009,0,0,0.00002
itrf96,nad83csrs,1997,0.991,-1.9072,-0.5129,0,-0.02579,-0.00965,-0.01166,0,0,0,0,-0.000053,0.000742,0.000032
